stem_cankers,canker_lesion,fruiting_bodies,external_decay,mycelium,int_discolor,sclerotia,fruit_pods,roots,Class
1,0.333333333333333,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0.333333333333333,1,1,0,0,0,0,0,0
1,0.333333333333333,1,1,0,0,0,0,0,0
1,0.333333333333333,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0.333333333333333,1,1,0,0,0,0,0,0
1,0.333333333333333,1,1,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,1
0.333333333333333,0.333333333333333,0,1,1,0,0,1,0,2
0.333333333333333,0.333333333333333,0,1,0,0,0,1,0,2
0.333333333333333,0.333333333333333,0,1,1,0,0,1,0,2
0.333333333333333,0.333333333333333,0,1,0,0,0,1,0,2
0.333333333333333,0.333333333333333,0,1,0,0,0,1,0,2
0.333333333333333,0.333333333333333,0,1,1,0,0,1,0,2
0.333333333333333,0.333333333333333,0,1,1,0,0,1,0,2
0.333333333333333,0.333333333333333,0,1,0,0,0,1,1,2
0.333333333333333,0.333333333333333,0,1,1,0,0,1,0,2
0.333333333333333,0.333333333333333,0,1,0,0,0,1,0,2
0.666666666666667,0.666666666666667,0,1,0,0,0,1,1,3
0.333333333333333,0.666666666666667,0,0,0,0,0,1,1,3
0.666666666666667,0.666666666666667,0,0,0,0,0,1,1,3
0.333333333333333,0.666666666666667,0,1,0,0,0,1,1,3
